Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Select Investors 1,Select Investors 2,Select Investors 3,Select Investors 4,Number of Investors
Injective Protocol,$1B,4/20/2021,Fintech,New York,United States,North America,2018,$17M,"Pantera Capital, Cadenza Ventures, BlockTower Capital",Pantera Capital, Cadenza Ventures, BlockTower Capital,,3
Intellifusion,$1B,3/22/2019,Artificial intelligence,Shenzhen,China,Asia,2014,$173M,"BOC International, TopoScend Capital, Hongxiu VC",BOC International, TopoScend Capital, Hongxiu VC,,3
Interos,$1B,7/22/2021,Fintech,Arlington,United States,North America,2005,$135M,"Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock",Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock,,3
Iodine Software,$1B,12/1/2021,Data management & analytics,Austin,United States,North America,2010,Unknown,"Advent International, Bain Capital Ventures, Silversmith Capital Partners",Advent International, Bain Capital Ventures, Silversmith Capital Partners,,3
JoyTunes,$1B,6/21/2021,Edtech,Tel Aviv,Israel,Asia,2011,$92M,"Genesis Partners, Aleph, Insight Partners",Genesis Partners, Aleph, Insight Partners,,3
Kendra Scott,$1B,12/21/2016,Consumer & retail,Austin,United States,North America,2002,Unknown,"Berkshire Partners, Norwest Venture Partners",Berkshire Partners, Norwest Venture Partners,,,2
Kitopi,$1B,7/1/2021,"Supply chain, logistics, & delivery",Dubai,United Arab Emirates,Asia,2018,$504M,"CE-Ventures, BECO Capital, Nordstar",CE-Ventures, BECO Capital, Nordstar,,3
KnowBox,$1B,5/30/2019,Edtech,Beijing,China,Asia,2014,$306M,"TAL Education Group, Legend Star, Alibaba Group",TAL Education Group, Legend Star, Alibaba Group,,3
Kopi Kenangan,$1B,12/27/2021,Consumer & retail,Jakarta,Indonesia,Asia,2017,$333M,"Horizons Ventures, Sequoia Capital India, Alpha JWC Ventures",Horizons Ventures, Sequoia Capital India, Alpha JWC Ventures,,3
Lamabang,$1B,3/6/2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2011,$130M,"5Y Capital, Matrix Partners China, K2VC",5Y Capital, Matrix Partners China, K2VC,,3
LayerZero Labs,$1B,3/30/2022,Internet software & services,New York,United States,North America,2021,$143M,"Andreessen Horowitz, FTX Ventures, Tiger Global Management",Andreessen Horowitz, FTX Ventures, Tiger Global Management,,3
Lessen,$1B,11/30/2021,Internet software & services,Scottsdale,United States,North America,2019,$205M,"Khosla Ventures, General Catalyst, Navitas Capital",Khosla Ventures, General Catalyst, Navitas Capital,,3
LetsGetChecked,$1B,6/7/2021,Health,Dublin,Ireland,Europe,2015,$263M,"Optum Ventures, Qiming Venture Partners, Transformation Capital",Optum Ventures, Qiming Venture Partners, Transformation Capital,,3
Licious,$1B,10/5/2021,E-commerce & direct-to-consumer,Bengaluru,India,Asia,2015,$489M,"3one4 Capital Partners, Bertelsmann India Investments, Vertex Ventures SE Asia",3one4 Capital Partners, Bertelsmann India Investments, Vertex Ventures SE Asia,,3
LinkDoc Technology,$1B,7/5/2018,Health,Beijing,China,Asia,2014,$253M,"China Investment Corporation, New Enterprise Associates",China Investment Corporation, New Enterprise Associates,,,2
Locus Robotics,$1B,2/17/2021,Hardware,Wilmington,United States,North America,2014,$299M,"Scale Venture Partners, Bond, Tiger Global Management",Scale Venture Partners, Bond, Tiger Global Management,,3
Lookout,$1B,10/10/2013,Cybersecurity,San Francisco,United States,North America,2007,$282M,"Accel Partners, Greylock Partners, Lowercase Capital",Accel Partners, Greylock Partners, Lowercase Capital,,3
Lydia,$1B,12/8/2021,Fintech,Paris,France,Europe,2011,$263M,"NewAlpha, XAnge Private Equity, Tencent Holdings",NewAlpha, XAnge Private Equity, Tencent Holdings,,3
MadeiraMadeira,$1B,1/7/2021,E-commerce & direct-to-consumer,Parana,Brazil,South America,2009,$336M,"Flybridge Capital Partners, SoftBank Group, Monashees+",Flybridge Capital Partners, SoftBank Group, Monashees+,,3
Maimai,$1B,11/15/2017,Mobile & telecommunications,Beijing,China,Asia,2013,$300M,"Morningside Venture Capital, IDG Capital, DCM Ventures",Morningside Venture Capital, IDG Capital, DCM Ventures,,3
Mammoth Biosciences,$1B,9/9/2021,Health,Brisbane,United States,North America,2017,$265M,"NFX, Plum Alley, Mayfield",NFX, Plum Alley, Mayfield,,3
Masterworks,$1B,10/5/2021,Fintech,New York,United States,North America,2017,$110M,"Left Lane Capital, Galaxy Interactive, Tru Arrow Partners",Left Lane Capital, Galaxy Interactive, Tru Arrow Partners,,3
Maven Clinic,$1B,8/17/2021,Health,New York,United States,North America,2014,$202M,"Female Founders Fund, Oak HC/FT Partners, Sequoia Capital",Female Founders Fund, Oak HC/FT Partners, Sequoia Capital,,3
MediaMath,$1B,7/10/2018,Internet software & services,New York,United States,North America,2007,$325M,"Silicon Valley Bank, QED Investors, European Founders Fund",Silicon Valley Bank, QED Investors, European Founders Fund,,3
Meero,$1B,6/18/2019,Artificial intelligence,Paris,France,Europe,2016,$293M,"Aglae Ventures, Global Founders Capital, Alven Capital",Aglae Ventures, Global Founders Capital, Alven Capital,,3
Mensa Brands,$1B,11/16/2021,Other,Bengaluru,India,Asia,2021,$218M,"Accel, Falcon Edge Capital, Norwest Venture Partners",Accel, Falcon Edge Capital, Norwest Venture Partners,,3
Mia.com,$1B,9/8/2015,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,$232M,"Sequoia Capital China, ZhenFund, K2 Ventures",Sequoia Capital China, ZhenFund, K2 Ventures,,3
Minio,$1B,1/26/2022,Data management & analytics,Palo Alto,United States,North America,2014,$126M,"General Catalyst, Nexus Venture Partners, Dell Technologies Capital",General Catalyst, Nexus Venture Partners, Dell Technologies Capital,,3
Mobvoi,$1B,4/6/2017,Consumer & retail,Beijing,China,Asia,2012,$252M,"Sequoia Capital China, SIG Asia Investments, ZhenFund",Sequoia Capital China, SIG Asia Investments, ZhenFund,,3
Moka,$1B,11/2/2021,Internet software & services,Beijing,China,Asia,2015,$144M,"GGV Capital, GSR Ventures, FreesFund",GGV Capital, GSR Ventures, FreesFund,,3
Momenta,$1B,10/17/2018,Artificial intelligence,Beijing,China,Asia,2016,$1B,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China",Sinovation Ventures, Tencent Holdings, Sequoia Capital China,,3
Morning Consult,$1B,6/8/2021,Internet software & services,Washington DC,United States,North America,2014,$91M,"Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems",Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems,,3
Movile,$1B,7/12/2018,Mobile & telecommunications,Sao Paulo,Brazil,South America,1998,$588M,"Innova Capital - FIP, 3G Capital Management, Prosus Ventures",Innova Capital - FIP, 3G Capital Management, Prosus Ventures,,3
Mux,$1B,4/30/2021,Internet software & services,San Francisco,United States,North America,2015,$174M,"Accel, Cobalt Capital, Andreessen Horowitz",Accel, Cobalt Capital, Andreessen Horowitz,,3
Nature's Fynd,$1B,7/19/2021,Other,Chicago,United States,North America,2012,$463M,"Danone Manifesto Ventures, 1955 Capital, Breakthrough Energy Ventures",Danone Manifesto Ventures, 1955 Capital, Breakthrough Energy Ventures,,3
Newlink Group,$1B,7/10/2020,E-commerce & direct-to-consumer,Beijing,China,Asia,2016,$655M,"JOY Capital, NIO Capital, Blueflame Capital",JOY Capital, NIO Capital, Blueflame Capital,,3
News Break,$1B,1/7/2021,Internet software & services,Mountain View,United States,North America,2015,$151M,"IDG Capital, Francisco Partners, ZhenFund",IDG Capital, Francisco Partners, ZhenFund,,3
Newsela,$1B,2/25/2021,Internet software & services,New York,United States,North America,2013,$172M,"Owl Ventures, Technology Crossover Ventures, Tao Capital Partners",Owl Ventures, Technology Crossover Ventures, Tao Capital Partners,,3
NIUM,$1B,7/13/2021,Fintech,,Singapore,Asia,2014,$285M,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures",Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures,,3
NoBroker,$1B,11/23/2021,Internet software & services,Bengaluru,India,Asia,2014,$424M,"General Atlantic, Elevation Capital, BEENEXT",General Atlantic, Elevation Capital, BEENEXT,,3
Noname Security,$1B,12/15/2021,Cybersecurity,Palo Alto,United States,North America,2020,$220M,"Insight Partners, Lightspeed Venture Partners, CyberStarts",Insight Partners, Lightspeed Venture Partners, CyberStarts,,3
Numbrs,$1B,8/22/2019,Fintech,Zurich,Switzerland,Europe,1999,$105M,"Investment Corporation of Dubai, Centralway",Investment Corporation of Dubai, Centralway,,,2
Omada Health,$1B,2/23/2022,Health,San Francisco,United States,North America,2011,$449M,"U.S. Venture Partners, dRx Capital, Andreessen Horowitz",U.S. Venture Partners, dRx Capital, Andreessen Horowitz,,3
Omio,$1B,10/23/2018,Travel,Berlin,Germany,Europe,2013,$396M,"Lakestar, Battery Ventures, New Enterprise Associates",Lakestar, Battery Ventures, New Enterprise Associates,,3
ONE,$1B,12/8/2021,Internet software & services,,Singapore,Asia,2011,$515M,"Temasek, Guggenheim Investments, Qatar Investment Authority",Temasek, Guggenheim Investments, Qatar Investment Authority,,3
OpenWeb,$1B,11/9/2021,Internet software & services,New York,United States,North America,2012,$223M,"Insight Partners, AltaIR Capital, Norma Investments",Insight Partners, AltaIR Capital, Norma Investments,,3
Orbbec Technology,$1B,5/21/2018,Hardware,Shenzhen,China,Asia,2013,$200M,"R-Z Capital, Green Pine Capital Partners, SAIF Partners China",R-Z Capital, Green Pine Capital Partners, SAIF Partners China,,3
Orca Bio,$1B,6/17/2020,Health,Menlo Park,United States,North America,2016,$192M,"Lightspeed Venture Partners, Data Collective, 8VC",Lightspeed Venture Partners, Data Collective, 8VC,,3
Orchard,$1B,9/9/2021,Fintech,New York,United States,North America,2017,$252M,"Accomplice, Juxtapose, FirstMark Capital",Accomplice, Juxtapose, FirstMark Capital,,3
Owkin,$1B,11/18/2021,Artificial Intelligence,New York,United States,North America,2016,$254M,"Google Ventures, Cathay Innovation, NJF Capital",Google Ventures, Cathay Innovation, NJF Capital,,3
PandaDoc,$1B,9/22/2021,Internet software & services,San Francisco,United States,North America,2016,$51M,"Rembrandt Venture Partners, M12, Altos Ventures",Rembrandt Venture Partners, M12, Altos Ventures,,3
Pat McGrath Labs,$1B,7/16/2018,Consumer & retail,New York,United States,North America,2016,$60M,"One Luxury Group, Eurazeo",One Luxury Group, Eurazeo,,,2
PatSnap,$1B,3/16/2021,Internet software & services,,Singapore,Asia,2007,$352M,"Sequoia Capital China, Shunwei Capital Partners, Qualgro",Sequoia Capital China, Shunwei Capital Partners, Qualgro,,3
Payhawk,$1B,2/14/2022,Fintech,London,United Kingdom,Europe,2018,$239M,"Earlybird Venture Capital, Eleven Ventures, QED Investors",Earlybird Venture Capital, Eleven Ventures, QED Investors,,3
Pentera,$1B,1/11/2022,Cybersecurity,Petah Tikva,Israel,Asia,2015,$190M,"AWZ Ventures, Blackstone, Insight Partners",AWZ Ventures, Blackstone, Insight Partners,,3
Pet Circle,$1B,12/6/2021,E-commerce & direct-to-consumer,Alexandria,Australia,Oceania,2011,$125M,"Prysm Capital, Baillie Gifford & Co., TDM Growth Partners",Prysm Capital, Baillie Gifford & Co., TDM Growth Partners,,3
PicsArt,$1B,8/26/2021,Mobile & telecommunications,San Francisco,United States,North America,2011,$195M,"Sequoia Capital, DCM Ventures, Insight Partners",Sequoia Capital, DCM Ventures, Insight Partners,,3
PLACE,$1B,11/17/2021,Internet software & services,Bellingham,United States,North America,2020,$100M,"Goldman Sachs Asset Management, 3L",Goldman Sachs Asset Management, 3L,,,2
Placer.ai,$1B,1/12/2022,Artificial intelligence,Los Altos,United States,North America,2016,$166M,"Fifth Wall Ventures, JBV Capital, Array Ventures",Fifth Wall Ventures, JBV Capital, Array Ventures,,3
Playco,$1B,9/21/2020,Other,Tokyo,Japan,Asia,2020,$140M,"Sozo Ventures, Caffeinated Capital, Sequoia Capital",Sozo Ventures, Caffeinated Capital, Sequoia Capital,,3
Poizon,$1B,4/29/2019,Mobile & telecommunications,Shanghai,China,Asia,2015,Unknown,"DST Global, Sequoia Capital China, Gaorong Capital",DST Global, Sequoia Capital China, Gaorong Capital,,3
PPRO,$1B,1/19/2021,Fintech,London,United Kingdom,Europe,2006,$370M,"Wellington Management, Eurazeo, Citi Ventures",Wellington Management, Eurazeo, Citi Ventures,,3
Printful,$1B,5/24/2021,Other,Charlotte,United States,North America,2016,$130M,Bregal Sagemount,Bregal Sagemount,,,,1
Quantum Metric,$1B,1/7/2021,Data management & analytics,Colorado Springs,United States,North America,2015,$226M,"Insight Partners, Bain Capital Ventures",Insight Partners, Bain Capital Ventures,,,2
Quizlet,$1B,5/13/2020,Edtech,San Francisco,United States,North America,2005,$62M,"Union Square Ventures, Altos Ventures, Costanoa Ventures",Union Square Ventures, Altos Ventures, Costanoa Ventures,,3
RapidAPI,$1B,3/23/2022,Internet software & services,San Francisco,United States,North America,2015,$273M,"Green Bay Ventures, M12, Andreessen Horowitz",Green Bay Ventures, M12, Andreessen Horowitz,,3
Razor,$1B,11/8/2021,Consumer & retail,Berlin,Germany,Europe,2020,$167M,"Global Founders Capital, 468 Capital, Redalpine Venture Partners",Global Founders Capital, 468 Capital, Redalpine Venture Partners,,3
Red Ventures,$1B,1/7/2015,Other,Fort Mill,United States,North America,2000,$250M,"Silver Lake Partners, General Atlantic",Silver Lake Partners, General Atlantic,,,2
REEF Technology,$1B,12/10/2018,"Supply chain, logistics, & delivery",Miami,United States,North America,2015,$2B,"Target Global, UBS Asset Management, Mubadala Capital",Target Global, UBS Asset Management, Mubadala Capital,,3
ReliaQuest,$1B,12/1/2021,Cybersecurity,Tampa,United States,North America,2007,$330M,"KKR, FTV Capital, Ten Eleven Ventures",KKR, FTV Capital, Ten Eleven Ventures,,3
Revolution Precrafted,$1B,10/23/2017,Other,Manila,Philippines,Asia,2015,$15M,"K2 Global, 500 Startups",K2 Global, 500 Startups,,,2
Rothy's,$1B,12/21/2021,Consumer & retail,San Francisco,United States,North America,2016,$484M,"Alpargatas, GS Growth, Lightspeed Venture Partners",Alpargatas, GS Growth, Lightspeed Venture Partners,,3
SaltPay,$1B,4/9/2021,Fintech,London,United Kingdom,Europe,2019,$1B,"Tiger Global Management, Hedosophia",Tiger Global Management, Hedosophia,,,2
Savage X Fenty,$1B,2/10/2021,E-commerce & direct-to-consumer,El Segundo,United States,North America,2018,$310M,"Speedinvest, Valar Ventures, Uniqa Ventures",Speedinvest, Valar Ventures, Uniqa Ventures,,3
Scalapay,$1B,2/23/2022,Fintech,Milan,Italy,Europe,2019,$416M,"Fasanara Capital, Tiger Global Management, Baleen Capital",Fasanara Capital, Tiger Global Management, Baleen Capital,,3
Scandit,$1B,2/9/2022,"Supply chain, logistics, & delivery",Zurich,Switzerland,Europe,2009,$273M,"Atomico, NGP Capital, Google Ventures",Atomico, NGP Capital, Google Ventures,,3
Sentry,$1B,2/18/2021,Other,San Francisco,United States,North America,2011,$127M,"New Enterprise Associates, Accel, Bond",New Enterprise Associates, Accel, Bond,,3
Shield AI,$1B,8/24/2021,Artificial intelligence,San Diego,United States,North America,2015,$328M,"Andreessen Horowitz, Homebrew, Point72 Ventures",Andreessen Horowitz, Homebrew, Point72 Ventures,,3
Shift Technology,$1B,5/6/2021,Artificial intelligence,Paris,France,Europe,2014,$545M,"Griffin Gaming Partners, Andreessen Horowitz, Battery Ventures",Griffin Gaming Partners, Andreessen Horowitz, Battery Ventures,,3
ShipBob,$1B,6/29/2021,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,$331M,"Hyde Park Venture Partners, FundersClub, Bain Capital Ventures",Hyde Park Venture Partners, FundersClub, Bain Capital Ventures,,3
Shippo,$1B,6/2/2021,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$154M,"Version One Ventures, Uncork Capital, Bessemer Venture Partners",Version One Ventures, Uncork Capital, Bessemer Venture Partners,,3
Sidecar Health,$1B,1/26/2021,Fintech,El Segundo,United States,North America,2018,$163M,"GreatPoint Ventures, Tiger Global Management, Menlo Ventures",GreatPoint Ventures, Tiger Global Management, Menlo Ventures,,3
Sift,$1B,4/22/2021,Artificial intelligence,San Francisco,United States,North America,2011,$157M,"Union Square Ventures, Insight Partners, Spark Capital",Union Square Ventures, Insight Partners, Spark Capital,,3
Skydio,$1B,2/25/2021,"Supply chain, logistics, & delivery",Redwood City,United States,North America,2014,$340M,"Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel",Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel,4
Slice,$1B,11/28/2021,Fintech,Bengaluru,India,Asia,2015,$249M,"Gunosy Capital, Blume Ventures, Das Capital",Gunosy Capital, Blume Ventures, Das Capital,,3
SmartAsset,$1B,6/24/2021,Fintech,New York,United States,North America,2012,$161M,"Javelin Venture Partners, TTV Capital, Peterson Ventures",Javelin Venture Partners, TTV Capital, Peterson Ventures,,3
SMS Assist,$1B,6/7/2016,Internet software & services,Chicago,United States,North America,2003,$255M,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital",Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital,,3
SnapLogic,$1B,12/13/2021,Internet software & services,San Mateo,United States,North America,2006,$371M,"Andreessen Horowitz, Triangle Peak Partners, Ignition Partners",Andreessen Horowitz, Triangle Peak Partners, Ignition Partners,,3
Snorkel AI,$1B,8/9/2021,Artificial intelligence,Palo Alto,United States,North America,2019,$135M,"Greylock Partners, Google Ventures, BlackRock",Greylock Partners, Google Ventures, BlackRock,,3
Solo.io,$1B,10/7/2021,Internet software & services,Cambridge,United States,North America,2017,$172M,"True Ventures, Altimeter Capital, Redpoint Ventures",True Ventures, Altimeter Capital, Redpoint Ventures,,3
SoundHound,$1B,5/3/2018,Artificial intelligence,Santa Clara,United States,North America,2005,$215M,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera",Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera,,3
